title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,539 Brooksdale Dr,WOODSTOCK,GA,30189,"$160,000","4 bds , 3 ba , 1,440 sqft",,https://www.zillow.com/homedetails/539-Brooksdale-Dr-Woodstock-GA-30189/51099797_zpid/
Coming soon,4007 Sunhill Ct,WOODSTOCK,GA,30189,"$375,000","4 bds , 4 ba , 2,745 sqft",,https://www.zillow.com/homedetails/4007-Sunhill-Ct-Woodstock-GA-30189/51103910_zpid/
House for sale,404 Woodcliffe Dr,WOODSTOCK,GA,30189,"$199,900","3 bds , 2 ba , -- sqft",,https://www.zillow.com/homedetails/404-Woodcliffe-Dr-Woodstock-GA-30189/51105542_zpid/
House for sale,712 Mulberry Cir,Woodstock,GA,30189,"$209,900","3 bds , 3 ba , 1,748 sqft",,https://www.zillow.com/homedetails/712-Mulberry-Cir-Woodstock-GA-30189/2088852460_zpid/
House for sale,2116 Yorkshire Ct,WOODSTOCK,GA,30189,"$275,000","5 bds , 4 ba , 3,869 sqft",,https://www.zillow.com/homedetails/2116-Yorkshire-Ct-Woodstock-GA-30189/51105411_zpid/
Foreclosure,507 Bentwood Dr,WOODSTOCK,GA,30189,"$575,000","4 bds , 5 ba , 6,600 sqft",,https://www.zillow.com/homedetails/507-Bentwood-Dr-Woodstock-GA-30189/54838721_zpid/
House for sale,539 Mirramont Pl,WOODSTOCK,GA,30189,"$270,000","4 bds , 3 ba , 2,287 sqft",,https://www.zillow.com/homedetails/539-Mirramont-Pl-Woodstock-GA-30189/54836726_zpid/
House for sale,729 Cedar Creek Way,WOODSTOCK,GA,30189,"$374,900","4 bds , 2 ba , 2,056 sqft",,https://www.zillow.com/homedetails/729-Cedar-Creek-Way-Woodstock-GA-30189/51120363_zpid/
House for sale,1087 Britley Park Ln,WOODSTOCK,GA,30189,"$165,000","2 bds , 2 ba , 1,228 sqft",,https://www.zillow.com/homedetails/1087-Britley-Park-Ln-Woodstock-GA-30189/51100199_zpid/
House for sale,425 Belmont Way,WOODSTOCK,GA,30189,"$250,000","3 bds , 3 ba , 1,880 sqft",,https://www.zillow.com/homedetails/425-Belmont-Way-Woodstock-GA-30189/71122295_zpid/
House for sale,126 Lynford Ln,WOODSTOCK,GA,30189,"$198,000","4 bds , 2.5 ba , 1,456 sqft",,https://www.zillow.com/homedetails/126-Lynford-Ln-Woodstock-GA-30189/51096763_zpid/
House for sale,3061 Lexington Ave,WOODSTOCK,GA,30189,"$259,900","4 bds , 3 ba , 2,524 sqft",,https://www.zillow.com/homedetails/3061-Lexington-Ave-Woodstock-GA-30189/49930704_zpid/
House for sale,161 W Putnam Ferry Rd,WOODSTOCK,GA,30189,"$335,000","5 bds , 3 ba , 3,583 sqft",,https://www.zillow.com/homedetails/161-W-Putnam-Ferry-Rd-Woodstock-GA-30189/51098830_zpid/
Condo for sale,454 Colonial Walk,WOODSTOCK,GA,30189,"$185,000","3 bds , 3 ba , 2,406 sqft",,https://www.zillow.com/homedetails/454-Colonial-Walk-Woodstock-GA-30189/88802753_zpid/
House for sale,203 Acacia Ln,Woodstock,GA,30189,"$699,000","3 bds , 3 ba , 2,200 sqft",,https://www.zillow.com/homedetails/203-Acacia-Ln-Woodstock-GA-30189/2088762349_zpid/
House for sale,7127 Big Woods Dr,WOODSTOCK,GA,30189,"$247,000","3 bds , 2 ba , 1,893 sqft",,https://www.zillow.com/homedetails/7127-Big-Woods-Dr-Woodstock-GA-30189/51096077_zpid/
House for sale,164 W Putnam Ferry Rd,WOODSTOCK,GA,30189,"$240,000","4 bds , 2 ba , 1,372 sqft",,https://www.zillow.com/homedetails/164-W-Putnam-Ferry-Rd-Woodstock-GA-30189/51098857_zpid/
House for sale,2910 Dunhill Trl,WOODSTOCK,GA,30189,"$420,000","5 bds , 5 ba , 4,476 sqft",,https://www.zillow.com/homedetails/2910-Dunhill-Trl-Woodstock-GA-30189/51098474_zpid/
House for sale,2011 Township Dr,WOODSTOCK,GA,30189,"$248,000","3 bds , 2 ba , 1,738 sqft",,https://www.zillow.com/homedetails/2011-Township-Dr-Woodstock-GA-30189/51104038_zpid/
Auction,2051 Township Dr,WOODSTOCK,GA,30189,,"4 bds , 2 ba , 2,902 sqft",,https://www.zillow.com/homedetails/2051-Township-Dr-Woodstock-GA-30189/51104201_zpid/
House for sale,2013 Aldbury Ln,WOODSTOCK,GA,30189,"$219,900","4 bds , 3 ba , 2,134 sqft",,https://www.zillow.com/homedetails/2013-Aldbury-Ln-Woodstock-GA-30189/49929571_zpid/
House for sale,1909 Lilac Ridge Dr,WOODSTOCK,GA,30189,"$316,000","5 bds , 3.5 ba , 2,945 sqft",,https://www.zillow.com/homedetails/1909-Lilac-Ridge-Dr-Woodstock-GA-30189/51097972_zpid/
House for sale,935 Pine Cir,WOODSTOCK,GA,30189,"$365,000","3 bds , 2 ba , 2,132 sqft",,https://www.zillow.com/homedetails/935-Pine-Cir-Woodstock-GA-30189/54838900_zpid/
House for sale,7124 Big Woods Dr,WOODSTOCK,GA,30189,"$269,400","5 bds , 3 ba , 2,586 sqft",,https://www.zillow.com/homedetails/7124-Big-Woods-Dr-Woodstock-GA-30189/49929531_zpid/
House for sale,2113 Township Dr,WOODSTOCK,GA,30189,"$271,000","4 bds , 3 ba , 2,496 sqft",,https://www.zillow.com/homedetails/2113-Township-Dr-Woodstock-GA-30189/51104294_zpid/
